=== CROSS-REFERENCE LENTELE ===

Zodis                    Eilutes
--------------------------------------------------
adomas                   259 283 
aikštė                   208 213 215 217 270 271 273 276 278 280 300 302 304 
aikštės                  280 283 
akademija                320 321 
alyta                    8 76 
alytus                   8 76 
amber                    192 450 
amžiaus                  76 79 
angl                     428 429 430 
ant                      289 311 
antavilių                27 32 
apaštalų                 393 397 
apgyvendinimo            129 135 
apie                     8 76 79 88 389 474 
apskrities               1 373 462 
ar                       108 311 
arba                     118 311 
archiveorg               484 489 495 
archyvuota               449 468 469 484 489 495 
arkikatedra              275 402 
armija                   82 88 
atnaujinkite             221 235 
atnaujinti               220 234 
atsiveria                16 275 
auga                     32 128 
aukštosios               326 334 
aukštutinė               265 267 275 
aukščiausia              63 64 
aukščiausias             294 304 
aukščiausių              32 478 
autobusų                 190 194 198 200 
aušros                   281 283 403 
baltasis                 141 156 
baltijos                 11 16 112 304 407 
balžio                   27 38 39 
based                    429 430 
batoro                   86 174 
bažnyčia                 280 283 387 391 392 393 394 395 396 397 398 399 400 401 410 
bažnyčios                210 280 
bažnyčių                 263 389 
be                       23 220 
bei                      27 79 104 275 283 
belmonto                 32 173 
bendriniu                6 76 
bendrinėje               6 76 
bent                     220 234 
bernardinų               32 169 263 
bet                      82 104 275 
biblioteka               79 372 373 374 375 
bokštas                  275 290 292 304 
britannica               428 429 430 
buvo                     82 84 86 88 122 124 
bvp                      112 120 122 
būna                     56 58 
centras                  1 84 112 352 354 355 356 360 361 362 367 368 
centre                   280 309 
centrinė                 16 374 456 458 
centro                   11 486 
centrų                   283 304 
cerkvė                   283 407 
dailės                   168 321 
dalis                    16 27 82 120 220 234 311 
dangų                    410 412 413 
dar                      23 283 311 
darbo                    354 356 
darbuotojų               352 360 
daug                     34 112 
daugiau                  118 120 389 410 
daugiausia               16 32 
departamentas            445 461 462 463 
didysis                  77 79 
didžiausias              190 419 
didžiausių               304 407 
dievo                    391 407 410 412 413 
dirbo                    114 259 
du                       104 120 
duomenys                 60 69 455 456 458 461 
dvasios                  283 396 410 
dėl                      16 112 283 
edition                  428 429 430 466 
ekonomika                93 107 
enciklopedija            442 443 457 459 460 
enciklopedijų            435 440 442 443 457 459 460 
encyclopedia             429 430 
erdvė                    275 280 283 
eur                      120 124 
europoje                 79 283 
europos                  11 97 217 300 302 304 329 382 421 
evangelikai              250 251 
ežeras                   27 38 39 
ežerų                    27 104 
forma                    8 76 
formos                   8 76 
gariūnų                  20 149 
gatves                   192 196 450 
gatvė                    207 216 283 
gatvės                   174 177 283 
gedimino                 79 269 275 322 
geležinio                79 155 
geležinkelio             91 175 198 358 
greitieji                190 194 
gyvenamosios             456 458 461 462 
gyventojai               132 219 311 434 462 463 
gyventojui               112 120 122 124 
gyventojų                82 88 222 236 434 455 456 458 461 463 464 
iki                      79 84 196 419 
informacijos             220 234 
informaciją              221 235 
institutas               435 440 441 442 443 459 
intakas                  16 23 
interaktyvi              429 430 
ir                       1 8 11 16 27 32 34 52 58 76 79 82 84 88 104 109 112 118 120 122 124 128 135 145 181 183 185 190 194 202 207 223 259 263 275 280 283 299 304 309 312 320 328 352 357 358 361 362 363 365 393 397 401 410 423 435 440 442 443 456 459 462 486 
isbn                     435 467 
istorija                 70 72 275 
iš                       8 23 118 124 196 261 382 441 449 468 469 484 489 495 
išlikusi                 8 76 
jas                      389 410 
jau                      8 451 
jeruzalės                27 354 
jis                      91 112 
jo                       108 275 309 311 
jono                     283 401 
jos                      79 280 311 
juozapo                  311 330 
jų                       88 118 283 462 
kad                      8 283 
kaimo                    207 456 458 461 
kaip                     8 58 76 79 84 104 275 
kalboje                  6 8 76 
kalbos                   8 76 441 
kalno                    269 289 311 
kalnų                    32 289 419 
kapinės                  295 297 407 
karo                     82 84 91 
kartą                    79 82 
katalikai                247 386 
katalikų                 283 389 
katedra                  410 412 413 
katedros                 213 214 270 271 273 280 
kaunas                   438 439 455 
kazimiero                280 332 
keletas                  23 27 
keliai                   179 183 
kitas                    23 135 145 
kiti                     20 126 237 254 299 
kitos                    334 408 410 
kitur                    27 58 
kitų                     79 104 
klimatas                 50 52 61 69 444 
km                       11 16 
konstantinas             259 299 
konstantino              209 341 
kopija                   449 468 469 484 489 495 
koplyčia                 283 403 
kovo                     79 95 196 
krepšinio                421 423 
krituliai                60 68 
kryžiai                  275 289 
kryžių                   284 285 287 
kt                       27 32 34 410 
kudirkos                 215 309 
kultūra                  79 377 
kultūros                 79 97 259 
kunigaikštis             77 79 
kur                      27 32 441 
kuri                     8 76 280 
kurie                    95 275 
kurioje                  275 283 
kurios                   16 79 280 
kursuoja                 190 451 
kviečiame                109 221 235 
labai                    23 79 
laikotarpio              79 124 
lazdynų                  32 151 419 
legenda                  79 311 
leidimas                 435 440 
leidybos                 435 440 442 443 459 
lenkai                   86 237 
liepos                   194 202 434 
lietuva                  84 88 95 426 443 
lietuviškoji             457 459 
lietuvių                 76 426 441 442 
lietuvoje                11 58 79 104 192 280 304 385 
lietuvos                 1 8 32 76 77 79 86 88 91 112 122 126 132 275 280 294 311 320 434 438 440 445 455 456 458 460 461 463 
lietuvą                  88 91 
link                     16 283 
liubarto                 142 153 
lotynų                   8 76 
lygį                     122 311 
machine                  449 468 469 484 489 495 
marijos                  283 399 403 
maršrutai                190 194 
maršrutų                 190 194 
matomi                   275 309 
mergelės                 283 399 403 
metų                     77 82 458 461 463 464 
mickevičius              259 283 
miestas                  1 8 23 82 382 
mieste                   27 76 79 112 114 118 190 202 
miesto                   1 8 13 16 18 23 32 49 76 79 82 100 104 106 110 128 260 275 280 304 374 445 476 483 485 
miestą                   6 8 23 82 86 104 
miestų                   79 104 434 440 
mikalojaus               341 398 
mikalojus                259 299 
mindaugo                 158 202 
miškai                   13 32 
mln                      116 118 
mlrd                     122 124 
mm                       52 68 
modelį                   8 76 
mokslo                   259 435 440 442 443 459 
mokykla                  331 341 347 353 357 358 359 363 364 365 366 
mokyklos                 314 326 334 338 343 345 346 
mokymo                   350 354 356 361 362 367 368 
motinos                  403 407 410 412 413 
msur                     224 226 228 230 
nacionalinė              341 372 
namų                     88 91 211 
